ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
ABT,EQY,ABUNDANT PRODUCE LIMITED                                    ,ORDINARY            ,0.49,20170630,2017,,,1.0,1.08
ABU,EQY,ABM RESOURCES NL                                            ,ORDINARY            ,0.095,20170630,2017,,,1.0,0.0
ABV,EQY,ADVANCED BRAKING TECHNOLOGY LTD                             ,ORDINARY            ,0.006,20170630,2017,Advanced Braking Technology Ltd Ordinary,"Auto, Truck & Motorcycle Parts",1.0,0.0
ABW,EQY,AURORA ABSOLUTE RETURN FUND                                 ,ORDINARY UNITS      ,0.4,20170630,2017,,,1.0,0.0
ABX,EQY,AUSTRALIAN BAUXITE LIMITED.                                 ,ORDINARY            ,0.165,20170630,2017,ABX Group Limited Ordinary,Aluminum,1.0,0.0
AC8,EQY,AUSCANN GROUP HOLDINGS LTD                                  ,ORDINARY            ,0.425,20170630,2017,Auscann Group Holdings Ltd Ordinary,Pharmaceuticals,1.0,0.0
ACB,EQY,A-CAP RESOURCES LIMITED                                     ,ORDINARY            ,0.051,20170630,2017,,,1.0,0.0
ACG,EQY,ATCOR MEDICAL HOLDINGS LIMITED                              ,ORDINARY            ,0.035,20170630,2017,,,1.0,0.0
ACK,EQY,AUSTOCK GROUP LIMITED                                       ,ORDINARY            ,0.66,20170630,2017,,,1.0,0.0
ACL,EQY,ALCHEMIA LIMITED                                            ,ORDINARY            ,0.008,20170630,2017,Australian Clinical Labs Limited Ordinary,Healthcare Facilities & Services,1.0,0.0
ACO,EQY,AUSTRALIAN CAREERS NETWORK LIMITED                          ,ORDINARY            ,3.43,20151012,2017,,,1.0,0.0
ACP,EQY,AUDALIA RESOURCES LIMITED                                   ,ORDINARY            ,0.02,20170517,2017,Audalia Resources Limited Ordinary,Specialty Mining & Metals,1.0,0.0
ACQ,EQY,ACORN CAPITAL INVESTMENT FUND LIMITED                       ,ORDINARY            ,0.92,20170630,2017,Acorn Capital Investment Fund Limited Ordinary,Investment Management & Fund Operators,1.0,0.0
ACR,EQY,ACRUX LIMITED                                               ,ORDINARY            ,0.215,20170630,2017,Acrux Limited Ordinary,Pharmaceuticals,1.0,0.2
ACS,EQY,ACCENT RESOURCES NL                                         ,ORDINARY            ,0.025,20170627,2017,Accent Resources NL Ordinary,Integrated  Mining,1.0,0.0
ACU,EQY,ACTIVISTIC LIMITED                                          ,ORDINARY            ,0.015,20170421,2017,Acumentis Group Limited Ordinary,Real Estate Services,1.0,0.42000000000000004
ACW,EQY,ACTINOGEN MEDICAL LIMITED                                   ,ORDINARY            ,0.061,20170630,2017,Actinogen Medical Limited Ordinary,Biotechnology & Medical Research,1.0,0.0
ACX,EQY,ACONEX LIMITED                                              ,ORDINARY            ,3.73,20170630,2017,,,1.0,0.0
AD1,EQY,APPLYDIRECT LIMITED                                         ,ORDINARY            ,0.14,20170630,2017,AD1 Holdings Limited Ordinary,IT Services & Consulting,1.0,0.0
