ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
AEG,EQY,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED                    ,ORDINARY            ,1.125,20170630,2017
AEI,EQY,AERIS ENVIRONMENTAL LTD                                     ,ORDINARY            ,0.275,20170630,2017
AER,EQY,AEERIS LTD                                                  ,ORDINARY            ,0.033,20170628,2017
AEV,EQY,AVENIRA LIMITED                                             ,ORDINARY            ,0.07,20170630,2017
AFA,EQY,ASF GROUP LIMITED                                           ,ORDINARY            ,0.18,20170630,2017
AFG,EQY,AUSTRALIAN FINANCE GROUP LTD                                ,ORDINARY            ,1.285,20170630,2017
AFI,EQY,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED            ,ORDINARY            ,5.81,20170630,2017
AFP,EQY,AFT PHARMACEUTICALS LIMITED                                 ,ORD FOR. EXEMPT NZX ,2.18,20170630,2017
AFR,EQY,AFRICAN ENERGY RESOURCES LIMITED                            ,CHESS DEPOSITARY INT,0.088,20170630,2017
AFT,EQY,AFT CORPORATION LIMITED                                     ,ORDINARY            ,0.001,20170626,2017
AFY,EQY,AFTERPAY HOLDINGS LIMITED                                   ,ORDINARY            ,2.74,20170628,2017
AGD,EQY,AUSTRAL GOLD LIMITED                                        ,ORDINARY            ,0.15,20170630,2017
AGE,EQY,ALLIGATOR ENERGY LIMITED                                    ,ORDINARY            ,0.01,20170630,2017
AGG,EQY,ANGLOGOLD ASHANTI LIMITED                                   ,CDI  5:1 FOR. EXEMPT,2.65,20170630,2017
AGI,EQY,AINSWORTH GAME TECHNOLOGY LIMITED                           ,ORDINARY            ,2.16,20170630,2017
AGJ,EQY,AGRICULTURAL LAND TRUST                                     ,ORDINARY UNITS      ,0.044,20170623,2017
AGL,EQY,AGL ENERGY LIMITED.                                         ,ORDINARY            ,25.5,20170630,2017
AGO,EQY,ATLAS IRON LIMITED                                          ,ORDINARY            ,0.015,20170630,2017
AGR,EQY,AGUIA RESOURCES LIMITED                                     ,ORDINARY            ,0.42,20170630,2017
AGS,EQY,ALLIANCE RESOURCES LIMITED                                  ,ORDINARY            ,0.088,20170630,2017
AGY,EQY,ARGOSY MINERALS LIMITED                                     ,ORDINARY            ,0.079,20170630,2017
