ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
E2E,EQY,EON NRG LIMITED                                             ,ORDINARY            ,0.006,20190628,2019
E2M,EQY,E2 METALS LIMITED                                           ,ORDINARY            ,0.2,20190628,2019
EAF,EQY,EVANS & PARTNERS ASIA FUND                                  ,ORDINARY UNITS      ,1.22,20190628,2019
EAI,EQY,ELLERSTON ASIAN INVESTMENTS LIMITED                         ,ORDINARY            ,0.925,20190628,2019
EAR,EQY,ECHO RESOURCES LIMITED                                      ,ORDINARY            ,0.155,20190628,2019
EAS,EQY,EASTON INVESTMENTS LIMITED                                  ,ORDINARY            ,0.94,20190628,2019
EAX,EQY,ENERGY ACTION LIMITED                                       ,ORDINARY            ,0.4,20190628,2019
EBG,EQY,EUMUNDI GROUP LIMITED                                       ,ORDINARY            ,0.96,20190628,2019
EBO,EQY,EBOS GROUP LIMITED                                          ,ORDINARY            ,22.5,20190628,2019
ECG,EQY,ECARGO HOLDINGS LIMITED                                     ,CDI 1:1             ,0.054,20190628,2019
ECL,EQY,EXCELSIOR CAPITAL LTD                                       ,ORDINARY            ,1.205,20190627,2019
ECT,EQY,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.                   ,ORDINARY            ,0.013,20190312,2019
ECX,EQY,ECLIPX GROUP LIMITED                                        ,ORDINARY            ,1.31,20190628,2019
ED1,EQY,EVANS DIXON LIMITED                                         ,ORDINARY            ,0.8,20190628,2019
EDC,EQY,EILDON CAPITAL LIMITED                                      ,ORDINARY            ,1.02,20190628,2019
EDE,EQY,EDEN INNOVATIONS LTD                                        ,ORDINARY            ,0.035,20190628,2019
EEG,EQY,EMPIRE ENERGY GROUP LIMITED                                 ,ORDINARY            ,0.21,20190628,2019
EER,EQY,EAST ENERGY RESOURCES LIMITED                               ,ORDINARY            ,0.003,20190617,2019
EEU,EQY,BETASHARES EURO ETF                                         ,ETF UNITS           ,15.75,20190624,2019
EFE,EQY,EASTERN IRON LIMITED                                        ,ORDINARY            ,0.004,20190621,2019
EFF,EQY,EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND                   ,ORDINARY UNITS      ,1.7,20190626,2019
EGA,EQY,EGAN STREET RESOURCES LIMITED                               ,ORDINARY            ,0.25,20190628,2019
EGD,EQY,EVANS & PARTNERS GLOBAL DISRUPTION FUND                     ,ORDINARY UNITS      ,2.14,20190628,2019
EGF,EQY,EVANS & PARTNERS GLOBAL FLAGSHIP FUND                       ,UNITS               ,1.6,20190628,2019
EGG,EQY,ENERO GROUP LIMITED                                         ,ORDINARY            ,1.42,20190628,2019
EGH,EQY,EUREKA GROUP HOLDINGS LIMITED                               ,ORDINARY            ,0.26,20190628,2019
EGI,EQY,ELLERSTON GLOBAL INVESTMENTS LIMITED                        ,ORDINARY            ,0.93,20190628,2019
EGL,EQY,ENVIRONMENTAL GROUP LIMITED (THE)                           ,ORDINARY            ,0.055,20190627,2019
EGN,EQY,ENGENCO LIMITED                                             ,ORDINARY            ,0.42,20190628,2019
EGY,EQY,ENERGY TECHNOLOGIES LIMITED                                 ,ORDINARY            ,0.3,20190621,2019
EHE,EQY,ESTIA HEALTH LIMITED                                        ,ORDINARY            ,2.64,20190628,2019
EHH,EQY,EAGLE HEALTH HOLDINGS LIMITED                               ,ORDINARY            ,0.29,20190628,2019
EHL,EQY,EMECO HOLDINGS LIMITED                                      ,ORDINARY            ,2.07,20190628,2019
EHX,EQY,EHR RESOURCES LIMITED                                       ,ORDINARY            ,0.035,20190626,2019
EIGA,EQY,EINVEST INCOME GENERATOR FUND (MANAGED FUND)                ,TMF UNITS           ,3.87,20190628,2019
EINC,EQY,BETASHARES LEGG MASON EQUITY INCOME FUND (MANAGED FUND)     ,TMF UNITS           ,8.52,20190628,2019
ELD,EQY,ELDERS LIMITED                                              ,ORDINARY            ,6.21,20190628,2019
ELK,EQY,ELK PETROLEUM LIMITED                                       ,ORDINARY            ,0.014,20190226,2019
ELO,EQY,ELMO SOFTWARE LIMITED                                       ,ORDINARY            ,7.29,20190628,2019
ELS,EQY,ELSIGHT LIMITED                                             ,ORDINARY            ,0.445,20190628,2019
ELT,EQY,ELEMENTOS LIMITED                                           ,ORDINARY            ,0.006,20190627,2019
ELX,EQY,ELLEX MEDICAL LASERS LIMITED                                ,ORDINARY            ,0.53,20190628,2019
EM1,EQY,EMERGE GAMING LIMITED                                       ,ORDINARY            ,0.02,20190628,2019
EM2,EQY,EAGLE MOUNTAIN MINING LIMITED                               ,ORDINARY            ,0.125,20190628,2019
EMB,EQY,EMBELTON LIMITED                                            ,ORDINARY            ,10.5,20190529,2019
EME,EQY,ENERGY METALS LTD                                           ,ORDINARY            ,0.13,20190628,2019
EMH,EQY,EUROPEAN METALS HOLDINGS LIMITED                            ,CDI 1:1             ,0.365,20190628,2019
EMKT,EQY,VANECK VECTORS MSCI MULTIFACTOR EMERGING MARKETS EQUITY ETF ,ETF UNITS           ,19.04,20190628,2019
EML,EQY,EML PAYMENTS LIMITED                                        ,ORDINARY            ,2.96,20190628,2019
EMMG,EQY,BETASHARES LEGG MASON EMERGING MARKETS FUND (MANAGED FUND)  ,TMF UNITS           ,5.41,20190628,2019
EMN,EQY,EURO MANGANESE INC                                          ,CDI 1:1             ,0.215,20190626,2019
EMP,EQY,EMPEROR ENERGY LIMITED                                      ,ORDINARY            ,0.003,20190628,2019
EMR,EQY,EMERALD RESOURCES NL                                        ,ORDINARY            ,0.038,20190628,2019
EMU,EQY,EMU NL                                                      ,ORDINARY            ,0.042,20190628,2019
EMUCA,EQY,EMU NL                                                      ,"3C PD, 3C UNPD      ",0.047,20190312,2019
EMV,EQY,EMVISION MEDICAL DEVICES LTD                                ,ORDINARY            ,0.365,20190628,2019
EN1,EQY,ENGAGE:BDR LIMITED                                          ,ORDINARY            ,0.037,20190628,2019
ENA,EQY,ENSURANCE LTD                                               ,ORDINARY            ,0.023,20190628,2019
ENB,EQY,ENEABBA GAS LIMITED                                         ,ORDINARY            ,0.005,20181206,2019
ENE,EQY,ENEVIS LIMITED                                              ,ORDINARY            ,0.2,20190621,2019
ENN,EQY,ELANOR INVESTORS GROUP                                      ,FPO/UNITS STAPLED   ,1.825,20190628,2019
ENR,EQY,ENCOUNTER RESOURCES LIMITED                                 ,ORDINARY            ,0.07,20190628,2019
ENT,EQY,ENTERPRISE METALS LIMITED                                   ,ORDINARY            ,0.008,20190628,2019
ENX,EQY,ENEGEX LIMITED                                              ,ORDINARY            ,0.01,20190628,2019
EOF,EQY,ECOFIBRE LIMITED                                            ,ORDINARY            ,2.1,20190628,2019
EOL,EQY,ENERGY ONE LIMITED                                          ,ORDINARY            ,1.64,20190627,2019
EOR,EQY,ENHANCED OIL & GAS RECOVERY LIMITED                         ,ORDINARY            ,0.008,20180501,2019
EOS,EQY,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED                      ,ORDINARY            ,4.2,20190628,2019
EPA,EQY,EPHRAIM RESOURCES LIMITED                                   ,ORDINARY            ,0.002,20170228,2019
EPD,EQY,EMPIRED LTD                                                 ,ORDINARY            ,0.27,20190628,2019
EPM,EQY,ECLIPSE METALS LIMITED.                                     ,ORDINARY            ,0.002,20190628,2019
EPW,EQY,ERM POWER LIMITED                                           ,ORDINARY            ,1.87,20190628,2019
EQE,EQY,EQUUS MINING LIMITED                                        ,ORDINARY            ,0.01,20190628,2019
EQT,EQY,EQT HOLDINGS LIMITED                                        ,ORDINARY            ,29.6,20190628,2019
EQX,EQY,EQUATORIAL RESOURCES LIMITED                                ,ORDINARY            ,0.29,20190628,2019
ERA,EQY,ENERGY RESOURCES OF AUSTRALIA LIMITED                       ,ORDINARY 'A'        ,0.195,20190628,2019
ERF,EQY,ELANOR RETAIL PROPERTY FUND                                 ,UNITS STAPLED       ,1.27,20190628,2019
ERG,EQY,ENECO REFRESH LTD                                           ,ORDINARY            ,0.071,20190628,2019
ERL,EQY,EMPIRE RESOURCES LIMITED                                    ,ORDINARY            ,0.008,20190628,2019
ERM,EQY,EMMERSON RESOURCES LIMITED                                  ,ORDINARY            ,0.11,20190628,2019
ERX,EQY,EXORE RESOURCES LTD                                         ,ORDINARY            ,0.075,20190628,2019
ESE,EQY,ESENSE-LAB LTD                                              ,CDI 1:1             ,0.017,20190628,2019
ESGI,EQY,VANECK VECTORS MSCI INTERNATIONAL SUSTAINABLE EQUITY ETF    ,ETF UNITS           ,22.46,20190628,2019
ESH,EQY,ESPORTS MOGUL LIMITED                                       ,ORDINARY            ,0.013,20190628,2019
ESK,EQY,ETHERSTACK PLC                                              ,CDI 1:1             ,0.22,20190628,2019
ESR,EQY,ESTRELLA RESOURCES LIMITED                                  ,ORDINARY            ,0.01,20190628,2019
ESTX,EQY,ETFS EURO STOXX 50 ETF                                      ,ETF UNITS           ,65.1,20190628,2019
ESV,EQY,ESERVGLOBAL LIMITED                                         ,ORDINARY            ,0.095,20190627,2019
ETE,EQY,ENTEK ENERGY LTD                                            ,ORDINARY            ,0.007,20190628,2019
ETF,EQY,UBS IQ MORNINGSTAR AUSTRALIA QUALITY ETF                    ,ETF UNITS           ,21.65,20190627,2019
ETHI,EQY,BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF                ,ETF UNITS           ,8.86,20190628,2019
EUC,EQY,EUROPEAN COBALT LTD                                         ,ORDINARY            ,0.018,20190628,2019
EUR,EQY,EUROPEAN LITHIUM LIMITED                                    ,ORDINARY            ,0.086,20190628,2019
EVE,EQY,EVE INVESTMENTS LIMITED                                     ,ORDINARY            ,0.005,20190628,2019
EVN,EQY,EVOLUTION MINING LIMITED                                    ,ORDINARY            ,4.36,20190628,2019
EVO,EQY,EVOLVE EDUCATION GROUP LIMITED                              ,ORD FOR. EXEMPT NZX ,0.125,20190628,2019
EVS,EQY,ENVIROSUITE LIMITED                                         ,ORDINARY            ,0.12,20190628,2019
EVT,EQY,EVENT HOSPITALITY AND ENTERTAINMENT LTD                     ,ORDINARY            ,12.5,20190628,2019
EVZ,EQY,EVZ LIMITED                                                 ,ORDINARY            ,0.18,20190628,2019
EWC,EQY,ENERGY WORLD CORPORATION LTD                                ,ORDINARY            ,0.059,20190628,2019
EX1,EQY,EXOPHARM LIMITED                                            ,ORDINARY            ,0.41,20190628,2019
EX20,EQY,BETASHARES AUSTRALIAN EX-20 PORTFOLIO DIVERSIFIER ETF       ,ETF UNITS           ,18.6,20190628,2019
EXL,EQY,ELIXINOL GLOBAL LIMITED                                     ,ORDINARY            ,3.75,20190628,2019
EXO,EQY,ENNOX GROUP LTD                                             ,ORDINARY            ,0.002,20190628,2019
EXP,EQY,EXPERIENCE CO LIMITED                                       ,ORDINARY            ,0.23,20190628,2019
EXR,EQY,ELIXIR ENERGY LIMITED                                       ,ORDINARY            ,0.04,20190628,2019
EZL,EQY,EUROZ LIMITED                                               ,ORDINARY            ,1.245,20190628,2019
FAIR,EQY,BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF            ,ETF UNITS           ,18.16,20190628,2019
FAM,EQY,FAMILY INSIGHTS GROUP LIMITED                               ,ORDINARY            ,0.001,20190628,2019
FAR,EQY,FAR LIMITED                                                 ,ORDINARY            ,0.069,20190628,2019
FAU,EQY,FIRST AU LIMITED                                            ,ORDINARY            ,0.016,20190628,2019
FBR,EQY,FBR LTD                                                     ,ORDINARY            ,0.074,20190628,2019
FBU,EQY,FLETCHER BUILDING LIMITED                                   ,ORD FOR. EXEMPT NZX ,4.66,20190628,2019
FCG,EQY,FRONTIER CAPITAL GROUP LIMITED                              ,ORDINARY            ,0.08,20161116,2019
FCT,EQY,FIRSTWAVE CLOUD TECHNOLOGY LIMITED                          ,ORDINARY            ,0.295,20190628,2019
FDM,EQY,FREEDOM OIL AND GAS LTD                                     ,ORDINARY            ,0.029,20190628,2019
FDV,EQY,FRONTIER DIGITAL VENTURES LIMITED                           ,ORDINARY            ,0.785,20190628,2019
FDX,EQY,FRONTIER DIAMONDS LTD                                       ,ORDINARY            ,0.024,20181221,2019
FE8,EQY,FASTER ENTERPRISES LTD                                      ,ORDINARY            ,0.012,20190627,2019
FEI,EQY,FE INVESTMENTS GROUP LIMITED                                ,ORDINARY            ,0.11,20190628,2019
FEL,EQY,FE LIMITED                                                  ,ORDINARY            ,0.017,20190627,2019
FEMX,EQY,FIDELITY GLOBAL EMERGING MARKETS FUND (MANAGED FUND)        ,TMF UNITS           ,5.12,20190628,2019
FEX,EQY,FENIX RESOURCES LTD                                         ,ORDINARY            ,0.1,20190628,2019
FFC,EQY,FARMAFORCE LIMITED                                          ,ORDINARY            ,0.15,20190625,2019
FFG,EQY,FATFISH BLOCKCHAIN LIMITED                                  ,ORDINARY            ,0.014,20190628,2019
FFI,EQY,FFI HOLDINGS LIMITED                                        ,ORDINARY            ,4.36,20190627,2019
FGF,EQY,FIRST GROWTH FUNDS LIMITED                                  ,ORDINARY            ,0.009,20190404,2019
FGG,EQY,FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED         ,ORDINARY            ,1.32,20190628,2019
FGO,EQY,FLAMINGO AI LIMITED                                         ,ORDINARY            ,0.007,20190628,2019
FGR,EQY,FIRST GRAPHENE LIMITED                                      ,ORDINARY            ,0.255,20190628,2019
FGX,EQY,FUTURE GENERATION INVESTMENT COMPANY LIMITED                ,ORDINARY            ,1.17,20190628,2019
FHS,EQY,FREEHILL MINING LIMITED.                                    ,ORDINARY            ,0.014,20190628,2019
FID,EQY,FIDUCIAN GROUP LIMITED                                      ,ORDINARY FULLY PAID ,5.16,20190628,2019
FIG,EQY,FREEDOM INSURANCE GROUP LTD                                 ,ORDINARY            ,0.02,20190204,2019
FIJ,EQY,FIJI KAVA LIMITED                                           ,ORDINARY            ,0.08,20190628,2019
FIN,EQY,FIN RESOURCES LIMITED                                       ,ORDINARY            ,0.012,20190628,2019
FLC,EQY,FLUENCE CORPORATION LIMITED                                 ,ORDINARY            ,0.39,20190628,2019
FLN,EQY,FREELANCER LIMITED                                          ,ORDINARY            ,0.81,20190628,2019
FLOT,EQY,VANECK VECTORS AUSTRALIAN FLOATING RATE ETF                 ,ETF UNITS           ,25.18,20190628,2019
FLT,EQY,FLIGHT CENTRE TRAVEL GROUP LIMITED                          ,ORDINARY            ,41.55,20190628,2019
FMG,EQY,FORTESCUE METALS GROUP LTD                                  ,ORDINARY            ,9.02,20190628,2019
FML,EQY,FOCUS MINERALS LTD                                          ,ORDINARY            ,0.25,20190628,2019
FMS,EQY,FLINDERS MINES LIMITED                                      ,ORDINARY            ,0.063,20190628,2019
FNP,EQY,FREEDOM FOODS GROUP LIMITED                                 ,ORDINARY            ,5.08,20190628,2019
FNT,EQY,FRONTIER RESOURCES LIMITED                                  ,ORDINARY            ,0.013,20190628,2019
FOD,EQY,THE FOOD REVOLUTION GROUP LIMITED                           ,ORDINARY            ,0.075,20190628,2019
FOOD,EQY,BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED         ,ETF UNITS           ,5.64,20190628,2019
FOR,EQY,FORAGER AUSTRALIAN SHARES FUND                              ,ORDINARY UNITS      ,1.145,20190628,2019
FPC,EQY,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD                     ,ORDINARY            ,0.815,20190628,2019
FPH,EQY,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED              ,ORD FOR. EXEMPT NZX ,14.83,20190628,2019
FPL,EQY,FREMONT PETROLEUM CORPORATION LIMITED                       ,ORDINARY            ,0.009,20190628,2019
FPP,EQY,FAT PROPHETS GLOBAL PROPERTY FUND                           ,ORDINARY UNITS      ,1.03,20190626,2019
FRI,EQY,FINBAR GROUP LIMITED                                        ,ORDINARY            ,0.84,20190628,2019
FRM,EQY,FARM PRIDE FOODS LIMITED                                    ,ORDINARY            ,0.21,20190628,2019
FRN,EQY,FRASER RANGE METALS GROUP LTD                               ,ORDINARY            ,0.014,20190628,2019
FRX,EQY,FLEXIROAM LIMITED                                           ,ORDINARY            ,0.012,20190628,2019
FSA,EQY,FSA GROUP LIMITED                                           ,ORDINARY            ,1.055,20190628,2019
FSF,EQY,FONTERRA SHAREHOLDERS' FUND                                 ,UNIT FOR EXEMPT NZX ,3.66,20190628,2019
FSG,EQY,FIELD SOLUTIONS HOLDINGS LIMITED                            ,ORDINARY            ,0.022,20190626,2019
FSI,EQY,FLAGSHIP INVESTMENTS LIMITED                                ,ORDINARY            ,1.75,20190626,2019
FTC,EQY,FINTECH CHAIN LIMITED                                       ,CDI 1:1             ,0.145,20190628,2019
FTT,EQY,FACTOR THERAPEUTICS LIMITED                                 ,ORDINARY            ,0.004,20190628,2019
FTZ,EQY,FERTOZ LIMITED                                              ,ORDINARY            ,0.145,20190628,2019
FUEL,EQY,BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED    ,ETF UNITS           ,5.75,20190628,2019
FUN,EQY,FUNTASTIC LIMITED                                           ,ORDINARY            ,0.027,20190628,2019
FWD,EQY,FLEETWOOD CORPORATION LIMITED                               ,ORDINARY            ,1.7,20190628,2019
FXL,EQY,FLEXIGROUP LIMITED                                          ,ORDINARY            ,1.63,20190628,2019
FYI,EQY,FYI RESOURCES LIMITED                                       ,ORDINARY            ,0.052,20190628,2019
FZO,EQY,FAMILY ZONE CYBER SAFETY LIMITED                            ,ORDINARY            ,0.15,20190628,2019
FZR,EQY,FITZROY RIVER CORPORATION LTD                               ,ORDINARY            ,0.19,20190628,2019
G1A,EQY,GALENA MINING LIMITED                                       ,ORDINARY            ,0.37,20190628,2019
G88,EQY,GOLDEN MILE RESOURCES LTD                                   ,ORDINARY            ,0.052,20190628,2019
GAL,EQY,GALILEO MINING LTD                                          ,ORDINARY            ,0.135,20190628,2019
GAP,EQY,GALE PACIFIC LIMITED                                        ,ORDINARY            ,0.32,20190628,2019
GAS,EQY,STATE GAS LIMITED                                           ,ORDINARY            ,0.65,20190628,2019
GBA,EQY,GRANDBRIDGE LIMITED                                         ,ORDINARY            ,0.02,20170404,2019
GBE,EQY,GLOBE METALS & MINING LIMITED                               ,ORDINARY            ,0.015,20190624,2019
GBG,EQY,GINDALBIE METALS LTD                                        ,ORDINARY            ,0.026,20190628,2019
GBI,EQY,GENERA BIOSYSTEMS LIMITED                                   ,ORDINARY            ,0.16,20180628,2019
GBM,EQY,GBM GOLD LTD                                                ,ORDINARY            ,0.008,20181005,2019
GBP,EQY,GLOBAL PETROLEUM LIMITED                                    ,ORDINARY            ,0.018,20190628,2019
GBR,EQY,GREAT BOULDER RESOURCES LIMITED                             ,ORDINARY            ,0.054,20190628,2019
GBT,EQY,GBST HOLDINGS LIMITED                                       ,ORDINARY            ,2.96,20190628,2019
GBZ,EQY,GBM RESOURCES LIMITED                                       ,ORDINARY            ,0.004,20190628,2019
GC1,EQY,GLENNON SMALL COMPANIES LIMITED                             ,ORDINARY            ,0.83,20190628,2019
GCI,EQY,GRYPHON CAPITAL INCOME TRUST                                ,ORDINARY UNITS      ,2.06,20190628,2019
GCM,EQY,GARDA CAPITAL GROUP                                         ,FPO/UNITS STAPLED   ,1.79,20190627,2019
GCN,EQY,GOCONNECT LIMITED                                           ,ORDINARY            ,0.007,20160930,2019
GCR,EQY,GOLDEN CROSS RESOURCES LTD                                  ,ORDINARY            ,0.017,20190628,2019
GCY,EQY,GASCOYNE RESOURCES LIMITED                                  ,ORDINARY            ,0.039,20190529,2019
GDF,EQY,GARDA DIVERSIFIED PROPERTY FUND                             ,ORDINARY UNITS      ,1.4,20190628,2019
GDG,EQY,GENERATION DEVELOPMENT GROUP LIMITED                        ,ORDINARY            ,0.525,20190628,2019
GDI,EQY,GDI PROPERTY GROUP                                          ,FPO/UNITS STAPLED   ,1.385,20190628,2019
GDX,EQY,VANECK VECTORS GOLD MINERS ETF                              ,CDI 1:1             ,36.6,20190628,2019
GEAR,EQY,BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND)       ,ETF UNITS           ,26.71,20190628,2019
GED,EQY,GOLDEN DEEPS LIMITED.                                       ,ORDINARY            ,0.03,20190628,2019
GEM,EQY,G8 EDUCATION LIMITED                                        ,ORDINARY            ,3.03,20190628,2019
GES,EQY,GENESIS RESOURCES LIMITED                                   ,ORDINARY            ,0.005,20190625,2019
GEV,EQY,GLOBAL ENERGY VENTURES LIMITED                              ,ORDINARY            ,0.185,20190628,2019
GFI,EQY,GLOBAL FORTUNE INVESTMENT LIMITED                           ,ORDINARY            ,0.255,20180601,2019
GFL,EQY,GLOBAL MASTERS FUND LIMITED                                 ,ORDINARY            ,1.9,20190627,2019
GFS,EQY,GASFIELDS LIMITED                                           ,ORDINARY            ,0.002,20180302,2019
GGE,EQY,GRAND GULF ENERGY LIMITED                                   ,ORDINARY            ,0.003,20190626,2019
GGG,EQY,GREENLAND MINERALS LIMITED                                  ,ORDINARY            ,0.135,20190628,2019
GGUS,EQY,BETASHARES GEARED US EQ FND CURRENCY HDGED HDG FND          ,TMF UNITS           ,17.71,20190628,2019
GGX,EQY,GAS2GRID LIMITED                                            ,ORDINARY            ,0.002,20190628,2019
GIB,EQY,GIBB RIVER DIAMONDS LIMITED                                 ,ORDINARY            ,0.031,20190628,2019
GID,EQY,"GI DYNAMICS, INC                                            ",CDI US PROHIBITED   ,0.029,20190628,2019
GLA,EQY,GLADIATOR RESOURCES LIMITED                                 ,ORDINARY            ,0.001,20190627,2019
GLB,EQY,GLOBE INTERNATIONAL LIMITED                                 ,ORDINARY            ,1.6,20190627,2019
GLE,EQY,GLG CORP LTD                                                ,ORDINARY            ,0.13,20190617,2019
GLH,EQY,GLOBAL HEALTH LIMITED                                       ,ORDINARY            ,0.14,20190628,2019
GLIN,EQY,AMP CAP GLOBAL INFRASTRUCTURE SEC FUND                      ,TMF UNITS           ,3.23,20190628,2019
GLL,EQY,GALILEE ENERGY LIMITED                                      ,ORDINARY            ,0.73,20190628,2019
GLN,EQY,GALAN LITHIUM LIMITED                                       ,ORDINARY            ,0.185,20190628,2019
GLV,EQY,GLOBAL VANADIUM LIMITED                                     ,ORDINARY            ,0.001,20190628,2019
GMA,EQY,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED               ,ORDINARY            ,2.81,20190628,2019
GMC,EQY,GULF MANGANESE CORPORATION LIMITED                          ,ORDINARY            ,0.006,20190628,2019
GMD,EQY,GENESIS MINERALS LIMITED                                    ,ORDINARY            ,0.023,20190628,2019
GME,EQY,GME RESOURCES LIMITED                                       ,ORDINARY            ,0.047,20190627,2019
GMG,EQY,GOODMAN GROUP                                               ,FPO/UNITS STAPLED   ,15.03,20190628,2019
GML,EQY,GATEWAY MINING LIMITED                                      ,ORDINARY            ,0.01,20190628,2019
GMN,EQY,GOLD MOUNTAIN LIMITED                                       ,ORDINARY            ,0.066,20190628,2019
GMR,EQY,GOLDEN RIM RESOURCES LTD                                    ,ORDINARY            ,0.013,20190628,2019
GMV,EQY,G MEDICAL INNOVATIONS HOLDINGS LIMITED                      ,ORDINARY            ,0.21,20190628,2019
GNC,EQY,GRAINCORP LIMITED                                           ,A CLASS ORDINARY    ,7.97,20190628,2019
GNE,EQY,GENESIS ENERGY LIMITED                                      ,ORD FOR. EXEMPT NZX ,3.24,20190628,2019
GNG,EQY,GR ENGINEERING SERVICES LIMITED                             ,ORDINARY            ,0.8,20190628,2019
GNX,EQY,GENEX POWER LIMITED                                         ,ORDINARY            ,0.255,20190628,2019
GO2,EQY,THE GO2 PEOPLE LTD                                          ,ORDINARY            ,0.09,20190405,2019
GOLD,EQY,ETFS METAL SECURITIES AUSTRALIA LIMITED.                    ,ETFS GOLD           ,190,20190628,2019
GOO,EQY,GOOROO VENTURES LIMITED                                     ,ORDINARY            ,0.044,20190628,2019
GOR,EQY,GOLD ROAD RESOURCES LIMITED                                 ,ORDINARY            ,0.99,20190628,2019
GOVT,EQY,SPDR S&P/ASX AUSTRALIAN GOVERNMENT BOND FUND                ,ETF UNITS           ,27.83,20190628,2019
GOW,EQY,GOWING BROS LIMITED                                         ,ORDINARY            ,2.49,20190628,2019
GOZ,EQY,GROWTHPOINT PROPERTIES AUSTRALIA                            ,FPO/UNITS STAPLED   ,4.12,20190628,2019
GPP,EQY,GREENPOWER ENERGY LIMITED                                   ,ORDINARY            ,0.001,20190628,2019
GPR,EQY,GEOPACIFIC RESOURCES LTD                                    ,ORDINARY            ,0.021,20190628,2019
GPS,EQY,GPS ALLIANCE HOLDINGS LIMITED                               ,ORDINARY            ,0.05,20190404,2019
GPT,EQY,GPT GROUP                                                   ,FPO/UNITS STAPLED   ,6.15,20190628,2019
GPX,EQY,GRAPHEX MINING LIMITED                                      ,ORDINARY            ,0.26,20190628,2019
GRB,EQY,GAGE ROADS BREWING CO LIMITED                               ,ORDINARY            ,0.093,20190628,2019
GRNV,EQY,VANECK VECTORS MSCI AUSTRALIAN SUSTAINABLE EQUITY ETF       ,ETF UNITS           ,26.69,20190628,2019
GROW,EQY,SCHRODER REAL RETURN FUND (MANAGED FUND)                    ,TMF UNITS           ,3.74,20190627,2019
GRR,EQY,GRANGE RESOURCES LIMITED.                                   ,ORDINARY            ,0.26,20190628,2019
GRV,EQY,GREENVALE ENERGY LIMITED                                    ,ORDINARY            ,0.026,20190517,2019
GSL,EQY,GREATCELL SOLAR LIMITED                                     ,ORDINARY            ,0.17,20180228,2019
GSM,EQY,GOLDEN STATE MINING LIMITED                                 ,ORDINARY            ,0.075,20190628,2019
GSN,EQY,GREAT SOUTHERN MINING LIMITED                               ,ORDINARY            ,0.032,20190625,2019
GSS,EQY,GENETIC SIGNATURES LIMITED                                  ,ORDINARY            ,1.35,20190628,2019
GSW,EQY,GETSWIFT LIMITED                                            ,ORDINARY            ,0.2,20190628,2019
GTE,EQY,GREAT WESTERN EXPLORATION LIMITED.                          ,ORDINARY            ,0.004,20190628,2019
GTG,EQY,GENETIC TECHNOLOGIES LIMITED                                ,ORDINARY            ,0.006,20190628,2019
GTK,EQY,GENTRACK GROUP LIMITED                                      ,ORD FOR.EXEMPT NZX  ,5.95,20190628,2019
GTN,EQY,GTN LIMITED                                                 ,ORDINARY            ,0.91,20190628,2019
GTR,EQY,GTI RESOURCES LIMITED                                       ,ORDINARY            ,0.016,20190626,2019
GUD,EQY,G.U.D. HOLDINGS LIMITED                                     ,ORDINARY            ,10.01,20190628,2019
GUL,EQY,GULLEWA LIMITED                                             ,ORDINARY            ,0.028,20190626,2019
GVF,EQY,GLOBAL VALUE FUND LIMITED                                   ,ORDINARY            ,0.97,20190628,2019
GWA,EQY,GWA GROUP LIMITED.                                          ,ORDINARY            ,3.42,20190628,2019
GWR,EQY,GWR GROUP LIMITED                                           ,ORDINARY            ,0.14,20190611,2019
GXY,EQY,GALAXY RESOURCES LIMITED                                    ,ORDINARY            ,1.225,20190628,2019
HACK,EQY,BETASHARES GLOBAL CYBERSECURITY ETF                         ,ETF UNITS           ,7.52,20190628,2019
HAS,EQY,HASTINGS TECHNOLOGY METALS LTD                              ,ORDINARY            ,0.15,20190628,2019
HAV,EQY,HAVILAH RESOURCES LIMITED                                   ,ORDINARY            ,0.145,20190628,2019
HAW,EQY,HAWTHORN RESOURCES LIMITED                                  ,ORDINARY            ,0.053,20190628,2019
HBRD,EQY,BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND)    ,TMF UNITS           ,10.24,20190628,2019
HCH,EQY,HOT CHILI LIMITED                                           ,ORDINARY            ,0.032,20190627,2019
HCO,EQY,HYLEA METALS LIMITED                                        ,ORDINARY            ,0.045,20190628,2019
HCT,EQY,HOLISTA COLLTECH LIMITED                                    ,ORDINARY            ,0.042,20190628,2019
HDY,EQY,HARDEY RESOURCES LIMITED                                    ,ORDINARY            ,0.003,20180906,2019
HE8,EQY,HELIOS ENERGY LTD                                           ,ORDINARY            ,0.165,20190628,2019
